num,URL,Title,Post,tags,hubs
52,https://habr.com/ru/post/52,восстановление пароля,1) как восстановить пароль если забыл? почему нельзя выслать на мыло? 2) на страницы почты IE постоянно вываливает дебаг на наличие объекта,[''],['Habr']
53,https://habr.com/ru/post/53,Хабраперл,"Уважаемый geraxe, означает ли создание этой группы, что Хабрахабр сделан на Перле? Раз такое дело, то может быть вкратце опишете использованные технологии? «Так, для фетишистов» :)",[''],['Perl']
54,https://habr.com/ru/post/54,недочетик в адресной строке,пример: находимся на странице www.habrahabr.ru/blog/72/#comments жмем логин — попадаем на www.habrahabr.ru/login?url=/blog/72/comments/#comment а после логина переадресует на www.habrahabr.ru//blog/72/#comments .....ru//b… вот так вот.,"['url', 'bug']",['Habr']
55,https://habr.com/ru/post/55,"Рейтинг, СБК и карма — дайте две!","А можно смотреть весь список участников и сортировать его по рейтингу, СБК и карме? А как расчитывается рейтинг? Что там учитывается с бОльшим коэффициентом — карма или СБК?","['рейтинг', 'карма', 'сбк']",['Habr']
56,https://habr.com/ru/post/56,Userinfo — микроформатом,Почему бы не разметить информацию о пользователе сообразно микроформату hCard? Чем Хабрахабр хуже Technorati?,"['микроформаты', 'microformats', 'habrahabr']",['Habr']
57,https://habr.com/ru/post/57,Список сайтов интернета,"Попробуйте задать своим знакомым вопрос: «Как ты думаешь, есть ли где-то алфавитный список всех сайтов Интернета?» Не знаю как ваши, а 9 из 10 моих знакомых, имеющих опыт работы в Интернете, но не являющихся профессионалами в этой области, уверенно ответили «Ну да, должен быть, конечно!» Наверное, во всем виновата человеческая склонность к упорядочиванию и раскладыванию по полочкам. И обязательность наличия полного списка всех сайтов очень укладывается в эти представления. А списка такого нет…. Хотя технически задача его создания вполне реализуема. Не спрашивайте меня, какой смысл в этом списке. Впрямую его вроде бы и нет. А вот если не впрямую, то можно и пофантазировать. Например, скучающий вебсерфер, прочитав все интересные новости за сегодня, поудаляв спам из всех ящиков, и отметившись в любимых блогах, мог бы побродить по страницам такого списка и понажимать на привлекательные имена – просто в порядке любопытства – ведь никогда не знаешь, что скрывается за каким-нибудь там AllAboutMe.net . В этом, кстати, отличие просто списка сайтов от каталогов, где информация разложена по разделам – там без дела лазить неинтересно, слишком предсказуем результат. Также по такому списку можно гадать, как по книге стихов или по  дзен-поиску Яндекса  — просто ткнуть наугад и попробовать сделать выводы исходя из того, куда закинула судьба :). Ну и просто прикольно посмотреть сколько всего сайтов в Интернете, сколько появилось за последний час, сутки, месяц. Просто так. Такая вот странная вещь.","['www.AllAboutMe.net', 'список сайтов интернета', 'дзен-поиск', 'гадани']",['Чулан']
58,https://habr.com/ru/post/58,Блог — страницы,"такая штука: последняя страница в блоге (незнаю как на остальных) есть, а на странице ничего нет =( вот так вот","['blog', 'bug', 'listing']",['Habr']
59,https://habr.com/ru/post/59,Интернет — оружие пролетариата?,"Интернет – оружие пролетариата? Странно, что концепция интернет-оружия до сих пор не была реализована. Идея лежит на поверхности – для того, чтобы, например, поддержать  Amnesty International  и высказать свое отношение к какому-нибудь там Джорджу Бушу мл.  покрывающему пытки в американских концлагерях , пользователю предлагается установить небольшую программку и присоединиться к армии народных мстителей. ПО дает возможность посмотреть, сколько людей уже находится в «бригаде», прогнозирует необходимое для «выстрела» их количество и отображает его в доступной форме, а в нужный момент дает сигнал, по которому автоматически, или собственноручно нажав на кнопку «ПУСК», пользователь становится участником старой доброй DDOS-атаки на противный его убеждениям сайт. Получается такой как-бы  бот-нет , только участвуют в сети совсем не боты, а вполне реальные люди, осознающие свои действия. В ходе атаки, ПО отслеживает отклик атакуемого сервера, и в тот момент, когда сервер падает и перестает отвечать на запросы, рисует на радость победителей анимированный взрыв/провал/заворот в себя цели атаки. Если мощи «красных мстителей» не хватает для совершения задуманного, есть возможность разослать приглашение друзьям помочь в акции. Ну, и всякие там побочные сервисы также можно додумывать. Но это уже вторично. Привлекательность и простота участия в таких акциях должна обеспечить им широкое распространение. Эффективность также не вызывает сомнения. Причем, она заключается не только и не столько в «завале» сервера, сколько в осознании факта, что в этом деле объединились тысячи и десятки тысяч людей. И те люди и организации, против которых направлена эта общность людей, также должны почувствовать это. Не говоря уже о том, что СМИ с удовольствием разнесут новость о виртуальной победе по оффлайновой части мира, чем усилят ее значимость. Теперь о неприятном: 1. Этическая сторона: использование интернет-оружия немногим отличается от обычного оружия. Да, оно не проливает крови. Но также может быть направлено против ошибочных целей. Да и есть ли в мире абсолютная справедливость? 2. Маскируясь под правозащитные, экологические и тому подобные организации, злоумышленники могут легко разместить на ПК пользователей шпионское ПО, которое превратит их в натуральных участников бот-нетов. 3. «Завал» сайтов привычно ассоциируется с деятельностью хакеров. Прийдется отстраиваться от «конкурентов». и это только то, что сразу пришло в голову. А вы что думаете по поводу этой странной вещи?","['интернет-оружие', 'DDOS-атака', 'Джордж Буш']",['Чулан']
62,https://habr.com/ru/post/62,RSS: The E-Mail Marketing Killer?,"В своей колонке на Кликс.com Дерек Хардинг указывает несколько причин по которым e-mail маркетингу на сегодняшний момент не грозит сколько-нибудь серьезная конкуренция со стороны RSS. Продвижение брендов через RSS-потоки по мнению Хардинга, если говорить о массовом маркетинге, пока уступает e-mail по большинству пунктов и вот по каким причинам: — по своей природе RSS не скорее подходит для Pull-стратегий продвижения, это — не Push технология. Подписчик всегда сам решает когда прочесть, подписаться или отписаться. — подписаться на RSS для непосвященных бывает крайне сложно, что делает целевую аудиторию ограниченной и закрывает перед RSS двери в наиболее массовые сегменты — обычно юзеры используют RSS для чтения новостей, блогов, подкастов и т.п. Реклама их не интересует. E-mail, в свою очередь, попадает в инбокс, который пользователь и так читает. Поэтому для маркетингового использования RSS ключевое слово- «эффективность». Можно успешно использовать этот носитель для узко старгетированных аудиторий и только тогда, когда контент вашего потока совпадает с тем, что обычно читает юзер. То есть RSS реклама должна быть максимально контекстной, иначе представители целевой просто не станут подписываться. Так что e-mail маркетинг пока в безопасности :) Sourse: ClickZ.com by Derek Harding","['реклама', 'branding', 'брендинг', 'ClickZ', 'RSS', 'RSS marketing', 'e-mail ma']",['Чулан']
63,https://habr.com/ru/post/63,Email-уведомления при ответе на собственный комментарий,"Приветствую! Оказывается, на мейл приходят и уведомления об ответах самому себе, чего быть не должно, наверное :) <blockquote>Здравствуйте, NaFigator! NaFigator ответил на ваш коментарий, оставленный здесь: habrahabr.ru/lenta/534/comments/#comment1457</blockquote>","['уведомления', 'email', 'ответ']",['Habr']
64,https://habr.com/ru/post/64,Вводное слово,"Разрабатываемые в первую очередь для людей, и лишь во вторую — для машин, микроформаты представляют собой набор простых и открытых форматов описания данных, основанных на широко применяемых и хорошо освоенных технологиях (например, XHTML и CSS). Основные принципы: 1. Решение специфичных проблем. 2. Чем проще тем лучше. 3. Разработка в первую очередь для людей, и лишь во вторую — для машин. 4. Переосмысленное применение составных частей широко применяемых технологий. 5. Модульность и внедряемость. 6. Поощрение децентрализованной разработки, контента и сервисов. Существуют микроформаты для разметки резюме, календаря, тегов и т.п. В настоящее время внедрение того или иного микроформата в код реальной вебстраницы не вызывает трудностей т.к. информация, размеченная сообразно правилам выбранного микроформата, по сути и является обычным XHTML кодом. Работа с микроформатами подсилу практически любому человеку. Официальный сайт: microformats.org Полный перечень существующих микроформатов: microformats.org/wiki/Main_Page","['микроформаты', 'microformats', 'Веб 2.0']",['Микроформаты']
65,https://habr.com/ru/post/65,Иван Сагалаев о микроформатах,"Даю ссылку на хорошую статью о микроформатах, написанную ещё год тому назад: «Микроформаты».","['микроформаты', 'microformats', 'Иван Сагалаев']",['Микроформаты']
66,https://habr.com/ru/post/66,Review Section,"Вы не хотите создать раздел «Обзоры»? На хабре много информации из других СМИ. Переводы часто делать лениво, но я, например, с удовольствием делал бы регулярные ревью прессы по своей теме, что собственно и делаю. Сейчас, когда я пишу краткие обзоры, мне некуда их засунуть. В блог — не факт, что это всем интересно. В перевод — но это не перевод. В колонку — нет, колонка подразумевает собственное мнение и свой материал. Сейчас я сливаю это в свою группу, которую читает 10 человек. А материал в обзорах качественный — статьи из авторитетной прессы, переведенные и проанализированные. Вобщем, я думаю, нужен раздел, куда человек может поместить свой обзор чужих статей :)",['review'],['Habr']
67,https://habr.com/ru/post/67,Порно-тренд как индикатор зон роста рунета,"Чисто случайно увидел такой тренд Гугла. Сразу бросилось в глаза отсутствие столиц – очень уж непривычно. Возникла следующая гипотеза: кто ищет порно в Интернете таким незамысловатым способом? Наверное, только начинающие пользователи. А значит, этот тренд может характеризовать те города рунета, в которых именно сейчас происходит активный рост интернет-населения. Введя связь с количеством населения в этих городах, и проведя несложные арифметические действия, я получил следующую таблицу ТОП-10 «горячих точек» рунета: № Город Активность, попугаи 1 Gomel, Belarus 12,0 2 Simferopol, Ukraine 10,8 3 Khabarovsk, Russia 8,6 4 Krasnodar, Russia 8,4 5 Zaporozhye, Ukraine 5,7 6 Volgograd, Russia 5,2 7 Ufa, Russia 4,2 8 Rostov-Na-Donu, Russia 4,0 9 Kazan, Russia 3,9 10 Nizhny Novgorod, Russia 3,4 Проверить эти выкладке на Яндексе оказалось еще проще. Используя сортировку по региональной популярности и посмотрев на первую 10-ку, видим очень похожую картину: № Город Региональная популярность, % 1 Ставрополь 195.72 2 Владивосток 183.95 3 Красноярск 164.42 4 Краснодар 159.33 5 Уфа 154.97 6 Волгоград 153.65 7 Казань 153.37 8 Иркутск 145.57 9 Нижний Новгород 142.50 10 Ростов-на-Дону 138.92 В выборку Яндекса не попали города Беларуси и Украины (минус 3 из первой таблицы), а из оставшихся семи совпали шесть. Такое вот получилось странное статистическое исследование подручными средствами :)","['порно-тренд', 'горячие', 'точки', 'Рунета', 'активный', 'рост', 'Интернет-']",['Чулан']
71,https://habr.com/ru/post/71,Борьба с комментариями-дубликатами,"Привет. Нужно либо ввести flood-control (второй и последующие комментарии с одинаковым текстом от одного пользователя к одному посту/комментарию в базу не записывать), либо дизаблить кнопку добавления комментария после нажатия на неё. А то невозможно, у меня все время комментарии дублируются — кликну по кнопке, реакции нет. Ну, думаю, тачпад подвел, кликаю снова — оп и два камента запостилось.","['комментарии', 'дубликаты', 'flood']",['Habr']
72,https://habr.com/ru/post/72,Трафик как универсальное средство оплаты,"Это обсуждение напомнило мне одну не новую концепцию, о которой хочу рассказать. Эта концепцию придумал не я. Точного автора я не знаю, но созрела она в недрах Системы ТРИЗ-Шанс, а услышал я ее из уст Сергея Валерьевича Сычева. Так как с той поры прошло несколько лет, я могу ошибаться в деталях, но дело приблизительно происходило так: на одном из семинаров в качестве примера принципа «система идеальна, когда инструмент отсутствует, а его функция выполняется», рассматривалась задача о системах оплаты через интернет. Недостатки существующих платежных систем общеизвестны – малая распространенность, относительная сложность использования для рядового пользователя, а также проблемы с вводом и выводом средств в платежную систему. С другой стороны, существует «побочный» эффект работы в интернете – генерируемый при этом трафик. Так почему бы не использовать его в качестве универсального платежного инструмента? Если рассмотреть некую идеальную систему, при которой все пользователи Интернет подключены к нему по схеме оплаты за мегабайты скачанной информации, то очень легко представить схемы оплаты за любой контент по принципу «скачайте этот 3-х мегабайтный файлик – это и будет вашей оплатой за его содержимое». А если сам файлик несоизмеримо мал по сравнению с ценой, которую хочет получить за него автор – то он искусственно «утяжеляется», либо рядом с ним находится специальная «3-х мегабайтная денежка», которую надо скачать для получения доступа к файлу. Внедрение такой системы сразу решило бы множество вопросов: — в использовании система проста до боли, т.к. для того чтобы ей пользоваться, надо лишь вовремя оплачивать счета провайдера; — легко решался бы вопрос о продаже самого разного цифрового контента – не только аудио- и видео- файлов, но и просто картинок и текстов, размещенных в свободном доступе; — за популярными авторами цифрового контента шла бы настоящая охота среди провайдеров – ведь сами провайдеры по замыслу также производят между собой платежи за взаимотребленные мегабайты по зачетному принципу – т.е. выплачивая сухой остаток. соответсвенно, выгодно держать у себя проекты, к которым не зарастает народная тропа. Наступил бы расцвет блоггеров, авторов тематических колонок и онлайн-журналистов. Конечно, система имеет ограниченную сферу применения – это, в первую очередь, мини- и микро- платежи в интернете. Но в этой сфере она бы произвела революцию. Почему я выложил эту концепцию здесь? Да, я отдаю себе отчет, что она утопична и нереализуема в реальных условиях. Но есть в ней некая внутренняя красота, которую я ценю в идеях. Это как красивый программный код, который никто, кроме его автора, не видит и не может оценить, но от этого его красота не становится менее значимой. А тех, кто не видит этой красоты — прошу считать это просто еще одной странной вещью, с которой вы познакомились сегодня.","['Тэги:', 'красота', 'платежи', 'трафик', 'контент', 'ТРИЗ-шанс', 'С.В.Сычев']",['Чулан']
73,https://habr.com/ru/post/73,Ведущие интернет-компании проведут семинар в Петербурге 18-22 сентября,"Дмитрий Чистов (""Бегун""), Юрий Кушнеров (CLX.RU), Филипп Кулин и другие специалисты проведут пятидневный семинар по интернет-маркетингу. Среди заявленных тем: интернет-реклама, сетевой PR, поисковое продвижение, партнерский маркетинг, а также оценка инвестиций в интернет-проекты. Мероприятие (www.emarka.ru) организовано ЦНТИ «Прогресс». Объемы рынка интернет-рекламы растут огромными темпами. На лидерские позиции выходят компании, активно работающие в Интернете. Сайт сейчас — это не электронный буклет (как несколько лет назад), а работающий инструмент, четко «отбивающий» затраты на свое создание и поддержку (не только техническую, но и рекламную). Но, как и в каждой сфере деятельности, в интернет-маркетинге есть свои профессиональные тонкости. Как сделать так, чтобы рекламная кампания в Интернете была успешной. Как попасть на первые строчки поисковых систем по популярным запросам. Как грамотно пользоваться PR-инструментами в Интернете. Как повысить свои продажи, используя партнерский маркетинг. Как рассчитать бизнес-план интернет-проекта. На все эти вопросы ответят преподаватели семинара «Интернет и поисковый маркетинг» 18-22 сентября. Семинар подобной тематики проводится ЦНТИ «Прогресс» впервые. Однако в планах проведение всероссийской конференции. «Я собираюсь рассказать о веб-юзибилити. Сейчас этот сегмент рынка незаметно, но очень быстро растет и очень скоро станет одним из ключевых в вопросах удержания постоянной аудитории» — комментирует свое участие Леонид Румянцев, генеральный директор студии «Юзибилист.ру». «Конференции E-target, РИФ и КИБ являются мероприятиями скорее тусовочными, а реальные знания можно получить, по моему мнению, на таких вот семинарах» — резюмирует PR-менеджер семинара Сергей Рудняев. Отдельное спасибо Демидову Никите за разработку рекламных баннеров семинара.","['интернет-реклама', 'сетевой PR', 'поисковое продвижение', 'партнерски']",['Чулан']
74,https://habr.com/ru/post/74,Что привезти из Тайланда?*,"Друзья, уезжаю в Тайланд! Что Вам привезти? 8))) Могу фотографировать для Хабра все интернет-кафе и признаки присутствия интернета, на которые наткнусь в Патайе и Бангкоке, потом сделаю коллажик. Есть еще идеи на тему «Экскюзивно для Хабра наш корреспондент из Тайланда»? (Главный критерий — ваши идеи не должны обломать мне отдых 8) *Ничего не обещаю 8)","['Тайланд', 'облом', 'репортаж']",['Habr']
75,https://habr.com/ru/post/75,Поле в комментариях,"Наверное, имеет смысл сделать поле ответа на комменарий по высоте таким же как для нового комментария — большой ответ не очень удобно писать. Маленькое поле провоцирует на краткий комментарий (типа ""+1""), что не сильно интересно для дискуссии.","['комментарии', 'улучшения']",['Habr']
76,https://habr.com/ru/post/76,html в почте,"В комментариях, которые приходят на почту, указан Content-Type: text/plain, а в теле письма (если ответ содержал html) присутствует html, который разумеется не обрабатывается. Наверное имеет смысл либо чистить от html присылаемый текст, либо указать соответствующий content-type.","['почта', 'html']",['Habr']
77,https://habr.com/ru/post/77,Баг или фича c related ссылками?,Вот сейчас на главной странице вверху 2 related ссылки: «Евросеть» ограничивает продажи телефонов Nokia и Сервису Blogger исполнилось 7 лет Но только related они к чем? К баннеру штоли? :)),[''],['Habr']
78,https://habr.com/ru/post/78,Про дебют,"Господа, ну вот сделал я первый подкаст на Хабре. Идеи-предложения-пожелания по формату есть, или никто не слушал? Кстати, Денискин, а есть ли статистика, хотябы примерная, сколько народу скачало? :)",['podcast'],['Чулан']
79,https://habr.com/ru/post/79,Подкаст-сервисы,"Вот товарищ za4em предлагает: «А сделайте обзор отечественных подкаст-сервисов...». По этому поводу вопрос: Кто, какие подобные очетественные сервисы знает? З.Ы. Проект Василия Стрельникова в расчет не брать. =)","['подкаст', 'обзор', 'отчечественный', 'список', 'Стрельников']",['Чулан']
80,https://habr.com/ru/post/80,«Вы в друзьях у...»,Не обнаружил такой простой (и такой нужной) статистики: кто именно из пользователей habrahabr.ru считает меня другом . Я плохо искал? :-),"['профиль', 'profile', 'habrahabr.ru']",['Habr']
81,https://habr.com/ru/post/81,Приснилось…,"Приснилось сегодня, что собирался написать что-то в эту группу. Но как часто бывает, на утро сон забылся, хоть убей не могу вспомнить, что хотел написать. Вам часто снятся сны «про интернет», когда во сне бродите по Сети, что-то делаете там?","['сон', 'приснилось', 'интернет', 'фриспич']",['Чулан']
82,https://habr.com/ru/post/82,Поддержку бы Safari организовать,"Зарегистрировался я дома, у меня Макинтош. Облазил весь Хабрахабр в поисках каких-нибудь элементов добавления текстов (кнопок, ссылок, чекбоксов — хоть каких-то!), но ничего не нашёл. Сейчас с работы зашел (PC, IE 6) — вот они, кнопочки-то слева вверху под логотипом! Если это принципиально неустранимая беда Safari — ладно, буду Firefox'ом пользоваться дома. Но если таки можно организовать поддержку этого браузера — было бы здорово. Ну и до кучи — вот :)","['Safari', 'браузеры', 'Macintosh', 'Apple', '404']",['Habr']
84,https://habr.com/ru/post/84,Состояние дел на рынке платных CMS,"Захотелось, как-то автору сих строк создать сайт, да нет маленький такой сайтик. Предполагалось, что на этом сайте будут общаться его друзья на интересные только им темы, подслушивать подкастинги друг друга и т. д. и т. п. В общем, блистал сайт в разуме создателя всеми прелестями чудес вражеской техники. Блистал, блистал и померк… В двух словах, потратив некое время на поиск подходящей системы управления сайтом, я пришел к четкому убеждению, что надо мною издеваются. Ну не нашел я системы, создатели которой шагали ли бы в ногу со временем, не нашел. Друзья мои, неужели все так плохо? Забыл добавить, что я полный «0» в программировании (ведь CMS создаются и для меня в частности). Очень хочется узнать мнение профессионалов по этому поводу. Спасибо.","['CMS', 'Веб 2.0']",['CMS']
85,https://habr.com/ru/post/85,Как удалить акаунт?,"Привет, пока не нашел возможности удалить пользователя (себя) Такое возможно сделать самостоятельно? Или надо просить об эфтаназии кого-то более опытного? Задача — удалить ошибочно созданный дубль «sergey_koshkin», оставив мой привычный «koshkin»","['удаление аккаунта', 'удалить аккаунт', 'удаление пользователя']",['Habr']
86,https://habr.com/ru/post/86,Новое в блоге,"Возможно уже обсуждали. В разделе «блог» не появляются новые записи, пока за них не проголосуют. Чтобы почитать новое приходится переходить по ссылке «все» из блога. Может быть будет справедливым делать анонс новых записей в блоге не только внизу главной страницы, но и в разделе «блог»?","['блог', 'новое']",['Habr']
87,https://habr.com/ru/post/87,Почему группы группами зовутся?,Уже обсуждали Теги — тэги — таги. А теперь новый вопрос: почему группы группами зовутся? В чем отличие рубрики «Группы» от форума?,"['группы', 'форум']",['Habr']
89,https://habr.com/ru/post/89,Юридическая составляющая,"Очень интересно было бы услышать мнение юристов, а еще лучше получить раз и навсегда ответ на подобные письма, которые рано или поздно будут приходить всем держателям более-менее крупных сообществ.","['сообщества', 'социальные', 'сети', 'юристы']",['Чулан']
90,https://habr.com/ru/post/90,Юридическая составляющая,"Очень интересно было бы услышать мнение юристов, а еще лучше получить раз и навсегда ответ на подобные письма, которые рано или поздно будут приходить всем держателям более-менее крупных сообществ.","['сообщества', 'социальные', 'сети', 'юристы']",['Чулан']
91,https://habr.com/ru/post/91,Идея для сайта,"Давайте опустим Хабриэлю карму до -20, а то нету Хабриэллы?","['Хабриэль', 'Хабриэлла']",['Habr']
92,https://habr.com/ru/post/92,Дорвеи наносят ответный удар,"Итак, яндекс забанил доры. Дорвейщики рыдают так громко, что от их <strike>стеба</strike> стенаний уже нигде не спрячешься. Однако те, кто уже подсели на иглу дешевого дорвейного трафика, так просто с нее не слезут. И они готовы принести в жертву многое лишь бы клики опять потекли рекою мутною от рупоиска и блокнотика. Всеми нами горячо любимый бегун, который всегда отнекивался от связей с дорвеями и говорил, что «Фид это некий сильно элитный вариант партнерства, и давать мы его да, не любим, но если есть весомые аргументы...», уже готов предоставить свой xml-фид ВСЕМ мастерам рупоиска. А их совсем не мало. Что это значит для рядового юзера? Это значит что «блокнотиков» и «рупоисков» в рунете будет сотни и сотни. А что поделаешь, яндекс ужесточает правила игры и ребята с темной стороны отвечают ему тем же. Пострадает конечно серфер, но до него дела нет ни тем ни другим. Интересно конечно, чем ответит клик-клик (блокнотик) на такой отчаянно смелый жест рупоиска? После заявления рупоиска о начале тестирования системы выдачи xml-фидов, даже самые преданные веб-мастера клик-клика стали всерьез рассматривать вопрос о переходе на рупоиск. В топ10 рупоиска уже значительное место занимают мастера, которые совсем недавно составляли костяк команды клика. Наверняка стоит ждать ответных действий со стороны клика. Вариантов симметричного ответа тут немного: 1. Договориться с бегуном о тех же условиях. Вполне реальный вариант, непонятно почему команда клика еще этого не сделала. 2. Сделать собственное решения для конверта трафика, например на базе магазинов. Опыт создания подобных программ для англоязычного трафика у ребят имеется, да и они давно обещают реализовать такую схему в рунете. 3. Выкатить фид недавно открытого Оптимиста от Вебальты. Вариант реальный, учитывая старые дружеские отношения владельцев блокнотика и владельцев Вебальты. Однако не совсем понятно на какой стадии находится этот самый Оптимист, и есть ли там рекламодатели. В любом случае будет весело.","['Яндекс', 'рупоиск', 'блокнотик', 'трафик', 'доры', 'оптимист']",['Чулан']
93,https://habr.com/ru/post/93,Про рейтинги и СБК,"Как вы наверное обратили внимание, система СБК*Рейтинг себя не оправдала. Причины просты и многочислены, вот самые явные, как мне кажется: * Средний балл комментария сильно зависим от их количества. Т.о. идеальный способ подняться в топ людей — написать один комментарий, но сверхпопулярный, после этого поднять себе немного рейтинг — и все. * Насколько я понимаю — оценки постов в блог, группы и колонки не учитывается в подсчете СБК, что тоже явно влияет на сам коэффициент. * Любой пользователь может увеличить или уменьшить балл комментария ровно на единицу. Повторяю — любой. Собственно понятно, что готовой методы, как же разобраться с проблемой нет. То что кажется мне очевидным можно описать так: * Сделать величину, на которую увеличивается или уменьшается балл комментария связанной с рейтингом человека, изменяющего балл. Таким образом, комментарии которые нравятся Игорю Ашманову более важны, чем комментарии, которые нравятся например мне, и это логично. * Следующим логичным шагом было бы изменить практику поднимать или опускать рейтинг человека ровно на единицу. Кажется рейтинговая система, когда голос человека с высоким рейтингов важнее чем голос менее популярного товарища работает почти везде. * Оценки за посты и записи в группы должны как то корелировать с оценкой комментариев и тоже учитываться. Впрочем это как раз спорно. * В идеале — нужно считать не СБК, а некий коэффициент, считающийся по функции от количества комментариев и баллов за них. Потому что флеймеры конечно мастдай, но количество комментариев на сайте тоже довольно важно.",['habr'],['Habr']
